Platform,Genre,NA_Sales,JP_Sales,Rating,Critic_Score_Class
12.0,10.0,41.36,3.77,1.0,1.0
12.0,6.0,15.68,3.79,1.0,2.0
12.0,10.0,15.61,3.28,1.0,2.0
2.0,4.0,11.28,6.5,1.0,2.0
12.0,3.0,13.96,2.93,1.0,3.0
12.0,4.0,14.48,4.7,1.0,2.0
2.0,6.0,9.71,4.13,1.0,2.0
12.0,10.0,8.92,3.6,1.0,2.0
15.0,3.0,15.02,0.24,1.0,0.0
12.0,10.0,9.01,2.53,1.0,2.0
8.0,0.0,7.02,0.98,4.0,2.0
7.0,0.0,9.43,0.41,4.0,2.0
2.0,3.0,4.74,4.16,1.0,1.0
15.0,0.0,9.66,0.06,4.0,2.0
7.0,0.0,8.41,0.47,4.0,2.0
2.0,5.0,3.43,5.32,1.0,1.0
7.0,6.0,6.85,1.87,1.0,2.0
15.0,8.0,9.06,0.13,4.0,2.0
15.0,8.0,9.73,0.11,4.0,2.0
8.0,8.0,4.99,0.65,4.0,2.0
15.0,8.0,8.25,0.07,4.0,2.0
15.0,8.0,8.52,0.08,4.0,2.0
9.0,0.0,4.12,0.39,4.0,2.0
8.0,8.0,5.54,0.49,4.0,2.0
7.0,0.0,6.99,0.3,4.0,2.0
0.0,6.0,5.2,2.7,1.0,2.0
12.0,2.0,6.64,2.66,6.0,2.0
8.0,8.0,6.0,0.48,4.0,2.0
2.0,9.0,2.5,5.33,1.0,2.0
15.0,8.0,7.97,0.13,4.0,2.0
7.0,6.0,3.01,1.1,1.0,2.0
12.0,4.0,6.06,1.2,1.0,2.0
15.0,0.0,6.77,0.14,4.0,2.0
6.0,6.0,4.02,2.54,1.0,2.0
0.0,4.0,4.89,2.14,1.0,2.0
8.0,6.0,2.96,0.81,1.0,2.0
8.0,8.0,4.99,0.38,4.0,2.0
8.0,0.0,4.77,0.44,4.0,2.0
15.0,8.0,6.75,0.04,4.0,1.0
12.0,3.0,5.95,0.0,2.0,1.0
0.0,4.0,3.66,2.49,1.0,1.0
15.0,8.0,7.06,0.08,4.0,2.0
15.0,8.0,6.68,0.04,4.0,2.0
6.0,7.0,3.01,3.28,6.0,2.0
6.0,6.0,3.88,1.69,6.0,2.0
12.0,3.0,5.8,0.01,2.0,1.0
8.0,8.0,4.1,0.38,4.0,1.0
15.0,8.0,5.95,0.13,4.0,2.0
0.0,9.0,2.08,4.43,1.0,2.0
9.0,10.0,0.9,0.09,1.0,2.0
2.0,3.0,4.4,1.98,1.0,1.0
15.0,7.0,5.08,0.1,4.0,2.0
